Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
frame0.pdb, 1, 1, 0.7590786945191969, 0.2756498251176239, 2.2366458678372014, -, 23.036184039067717, 1.1744880316501862
frame3.pdb, 1, 1, 0.7456429555920467, 0.2935084051564732, 2.0829581267679025, -, 21.887477933347682, 1.1730483048586746
frame12.pdb, 1, 1, 0.8109062101545564, 0.20960287871274919, 2.3912059101455982, -, 19.39445046853927, 1.1457882867159055
frame13.pdb, 1, 1, 0.8576688054526481, 0.15353726164524412, 2.439890558869936, -, 17.904368600757216, 1.1802038813230231
frame14.pdb, 1, 1, 0.8507377148293747, 0.1616514061057679, 2.5618450051386716, -, 19.0268520826217, 1.1556329960632559
frame16.pdb, 1, 2, 0.8475734673962657, 0.1653777562914154, 2.2731272409899144, -, 12.741225030364127, 1.142017244700933
frame17.pdb, 1, 2, 0.8100327401733306, 0.2106806121654426, 2.3602870263230313, -, 15.844449965478672, 1.2125007987175425
frame18.pdb, 1, 1, 0.9025690747282986, 0.10251005460884743, 2.2568676004576305, -, 10.25211799925347, 1.0741453611936698
frame19.pdb, 1, 2, 0.8581877140410807, 0.15293242248957264, 2.2596261185703566, -, 14.100769646341632, 1.1592792190472037
frame20.pdb, 1, 1, 0.8847039015490478, 0.12250226447759975, 2.1806630256329878, -, 10.391659357549456, 1.2326142899186057
frame21.pdb, 1, 2, 0.8399348361513177, 0.1744309661642881, 2.343356345662958, -, 17.094701525667308, 1.339499866790598
frame0.pdb, 2, 2, 0.7289878975203191, 0.31609814859232876, 2.1109770914082544, -, 22.11540677656526, 1.2172515120087273
frame3.pdb, 2, 2, 0.740014423623052, 0.3010856015913735, 2.0546962568622558, -, 19.85036775657746, 1.2192376599131287
frame12.pdb, 2, 2, 0.7752202239282493, 0.2546081300871514, 2.3912059101455982, -, 20.828401440067182, 1.220558831898827
frame13.pdb, 2, 2, 0.7638266078011503, 0.2694144687132334, 2.076413989335622, -, 23.881816267546196, 1.425444215857585
frame14.pdb, 2, 2, 0.8502966243364192, 0.16217002056602417, 2.5618450051386716, -, 16.54258915084162, 1.1588882543443957
frame16.pdb, 2, 1, 0.8629601801005753, 0.14738673021403115, 2.2731272409899144, -, 13.358586066080223, 1.3038045262805258
frame17.pdb, 2, 1, 0.8637958461920233, 0.14641882722835875, 2.399640337866214, -, 11.54851136950739, 1.2095831008565265
frame18.pdb, 2, 2, 0.880519209824382, 0.12724353433396807, 2.2568676004576305, -, 11.31781562489106, 1.0960361680336168
frame19.pdb, 2, 1, 0.910325308183091, 0.09395326183265588, 2.2596261185703566, -, 10.93019228817391, 1.12557413429584
frame20.pdb, 2, 2, 0.8323335882411455, 0.1835219711136376, 2.1806630256329878, -, 13.631227291027738, 1.3127694045531442
frame21.pdb, 2, 1, 0.9015003621036599, 0.10369483467089245, 2.343356345662958, -, 10.988445749235398, 1.2698277186176632
